City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mataura,NZ,2020-07-02 21:02:10,-46.19,168.86,31.39,95,3,2.08
70,Norden,DE,2020-07-02 21:02:11,53.6,7.2,59.0,82,67,5.82
71,Husavik,IS,2020-07-02 21:02:11,66.04,-17.34,53.6,58,92,10.29
72,Sola,VU,2020-07-02 21:02:11,-13.88,167.55,77.74,82,97,26.31
73,Butaritari,KI,2020-07-02 21:02:12,3.07,172.79,80.98,71,65,6.46
74,Fergus Falls,US,2020-07-02 21:02:12,46.28,-96.08,87.8,58,1,12.75
75,Taoudenni,ML,2020-07-02 21:02:12,22.68,-3.98,101.89,8,5,7.94
76,Harindanga,IN,2020-07-02 21:02:12,22.04,88.32,82.4,94,40,6.93
77,Hilo,US,2020-07-02 21:00:00,19.73,-155.09,82.4,61,90,9.17
78,Verkhnevilyuysk,RU,2020-07-02 21:02:14,63.45,120.32,60.53,57,83,9.19
79,Miles City,US,2020-07-02 21:02:15,46.41,-105.84,86.0,32,32,4.0
80,Tuktoyaktuk,CA,2020-07-02 21:02:15,69.45,-133.04,41.0,93,90,11.41
81,Fort Saint James,CA,2020-07-02 21:02:15,54.43,-124.25,52.16,93,100,3.71
82,Victoria,HK,2020-07-02 21:00:52,22.29,114.16,82.0,83,100,4.0
83,Lebu,CL,2020-07-02 21:02:16,-37.62,-73.65,51.13,77,83,2.68
84,Manzanillo,CU,2020-07-02 21:00:13,20.34,-77.12,85.96,72,61,6.85
85,Nuuk,GL,2020-07-02 21:00:11,64.18,-51.72,53.6,58,75,9.17
86,Autun,FR,2020-07-02 21:02:17,46.95,4.3,64.4,63,67,2.24
87,Dingle,PH,2020-07-02 21:02:18,11.0,122.67,76.73,82,55,2.57
88,Lengshuijiang,CN,2020-07-02 21:02:18,27.69,111.43,76.01,93,100,2.55
89,Vigrestad,NO,2020-07-02 21:02:18,58.57,5.7,51.8,71,75,14.99
90,Cidreira,BR,2020-07-02 21:02:19,-30.18,-50.21,49.28,72,0,10.85
91,Nikolskoye,RU,2020-07-02 21:02:19,59.7,30.79,62.6,72,79,4.47
92,Nurota,UZ,2020-07-02 21:02:19,40.56,65.69,71.6,27,28,16.11
93,Athabasca,CA,2020-07-02 20:59:35,54.72,-113.29,61.18,82,91,7.38
94,Jalu,LY,2020-07-02 21:02:20,29.03,21.55,81.54,40,0,16.46
95,Benguela,AO,2020-07-02 21:02:20,-12.58,13.41,68.2,87,7,3.31
96,Powell River,CA,2020-07-02 21:00:06,49.85,-124.54,66.2,62,75,9.17
97,Nantucket,US,2020-07-02 21:02:21,41.28,-70.1,78.01,83,20,10.29
98,Back Mountain,US,2020-07-02 21:00:58,41.34,-76.0,89.01,41,35,5.01
99,Comodoro Rivadavia,AR,2020-07-02 21:00:28,-45.87,-67.5,48.2,76,75,8.05
100,Hasaki,JP,2020-07-02 21:02:22,35.73,140.83,70.0,94,75,1.12
101,Bluff,NZ,2020-07-02 21:02:22,-46.6,168.33,36.93,81,4,6.53
102,Noumea,NC,2020-07-02 20:57:38,-22.28,166.46,64.99,82,46,3.36
103,Lac Du Bonnet,CA,2020-07-02 21:02:23,50.25,-96.06,90.0,34,0,8.01
104,Honningsvag,NO,2020-07-02 21:02:23,70.98,25.97,42.8,81,75,12.75
105,Atuona,PF,2020-07-02 21:02:24,-9.8,-139.03,80.71,77,6,24.27
106,Lata,PT,2020-07-02 21:02:24,40.16,-8.33,63.0,73,0,3.0
107,Fray Bentos,UY,2020-07-02 21:02:24,-33.13,-58.3,50.0,72,68,1.99
108,Yellowknife,CA,2020-07-02 21:02:25,62.46,-114.35,59.0,82,90,16.11
109,Pindushi,RU,2020-07-02 21:02:25,62.92,34.58,52.41,74,17,2.89
110,Aklavik,CA,2020-07-02 21:02:25,68.22,-135.01,46.4,81,90,8.05
111,La Ronge,CA,2020-07-02 21:02:25,55.1,-105.28,66.2,88,75,11.41
112,Codrington,AU,2020-07-02 21:02:26,-38.27,141.97,47.07,92,100,12.97
113,Verkh-Suetka,RU,2020-07-02 21:02:26,53.3,80.05,58.93,97,13,2.68
114,Lukiv,UA,2020-07-02 21:02:26,51.05,25.4,70.0,98,100,1.01
115,Sabirabad,AZ,2020-07-02 21:02:27,40.01,48.48,71.6,60,40,4.7
