City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
159,ribeira grande,PT,68.52,38.52,-28.7,Quinta da Meia Eira
161,mathathane,BW,54.57,-22.27,28.75,Selepswe Resort
163,zabki,PL,70.0,52.29,21.11,Hotel Arkadia
164,norman wells,CA,55.4,65.28,-126.83,Heritage Hotel
165,moindou,NC,77.0,-21.69,165.68,Gite de la RYAWA
166,nipawin,CA,60.8,53.37,-104.0,Tobin Lake Motel
167,sitka,US,55.4,57.05,-135.33,Westmark Sitka
170,fortuna,US,55.0,40.6,-124.16,Super 8 by Wyndham Fortuna
172,jackson,US,69.8,42.42,-122.83,Agate Village Apartments
173,najran,SA,86.0,17.49,44.13,محمد هادي ال فطيح
175,porto torres,IT,73.4,40.84,8.4,Hotel Elisa
176,narsaq,GL,51.8,60.92,-46.05,Hotel Narsaq
177,dikson,RU,52.05,73.51,80.55,
179,plettenberg bay,ZA,56.59,-34.05,23.37,Thanda Vista B&B
180,hobart,AU,55.0,-42.88,147.33,St Ives Apartments
182,calvia,ES,71.01,39.57,2.51,Castell Son Claret
184,bambous virieux,MU,71.01,-20.34,57.76,Casa Tia Villa
186,mount pleasant,US,77.0,32.79,-79.86,Best Western Patriots Point
188,karaton,ID,89.6,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
189,jiaonan,CN,84.0,35.88,119.98,Vienna Hotel Qingdao Huangdao
191,saint george,US,86.0,37.1,-113.58,Best Western Plus Abbey Inn
192,kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
194,hasaki,JP,81.0,35.73,140.83,Inubosaki Kanko Hotel
195,escanaba,US,64.0,45.75,-87.06,Sunset Lodge
196,regina,CA,69.01,50.45,-104.62,Quality Hotel
197,santiago del estero,AR,52.21,-27.8,-64.26,Hotel Urbano
198,altay,CN,79.93,47.87,88.12,Jinqiao Hotel
199,bima,ID,89.67,-8.47,118.72,Lambitu Hotel
201,carnarvon,AU,86.0,-24.87,113.63,Hospitality Carnarvon
202,saskylakh,RU,58.77,71.92,114.08,
203,ciudad valles,MX,74.88,21.98,-99.02,Hotel Mision Ciudad Valles
204,kruisfontein,ZA,50.07,-34.0,24.73,Oyster Bay House Rental
205,hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
206,salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
208,burgeo,CA,52.27,47.62,-57.62,Gillett's Motel
212,peetri,EE,64.0,59.39,24.81,Ülemiste Hotel
213,darhan,MN,82.69,49.49,105.92,Buudai Hotel
216,hakodate,JP,64.4,41.78,140.74,Yunokawa Prince Hotel Nagisatei
217,nikolskoye,RU,64.0,59.7,30.79,Tourist House - Sablino
222,chifeng,CN,84.42,42.27,118.96,Junyu Tiancheng Hotel
223,port keats,AU,87.94,-14.25,129.55,TDC Village (Hundred Man Camp)
224,wanning,CN,87.66,18.8,110.4,Paradise Hotel
226,talnakh,RU,71.6,69.49,88.4,Talnakh Hotel
227,cabo san lucas,MX,82.0,22.89,-109.91,Hotel Tesoro Los Cabos
228,beauvais,FR,59.0,49.42,2.0,LA GRANGE DE GEORGES
229,alice springs,AU,60.8,-23.7,133.88,Desert Palms Alice Springs
230,vostok,RU,78.62,46.49,135.88,
231,fort nelson,CA,55.4,58.81,-122.7,The Fort Nelson Hotel
233,hirara,JP,89.6,24.8,125.28,Hotel Atoll Emerald Miyakojima
234,yumen,CN,90.0,40.28,97.2,
235,yaan,NG,73.08,7.38,8.57,
236,saint-joseph,RE,73.4,-21.37,55.62,"""Plantation Bed and Breakfast"
237,conakry,GN,79.61,9.54,-13.68,Riviera Royal Hotel
239,damavand,IR,84.2,35.72,52.06,آپارتمان زمانیان
240,georgetown,MY,89.6,5.41,100.34,Cititel Penang
241,zalalovo,HU,68.0,46.85,16.59,Sabaria Vadása Panzió
242,mezen,RU,64.08,65.85,44.24,
244,singaparna,ID,81.36,-7.35,108.11,"H. maman Sukirman ""Koran"""
248,haines junction,CA,61.63,60.75,-137.51,Parkside Inn
249,matay,EG,86.9,28.42,30.78,Nag Aespen
251,melfi,IT,71.6,41.0,15.65,HOTEL TERME DI RAPOLLA
253,yablochnyy,RU,71.6,47.17,142.07,
254,thompson,CA,60.8,55.74,-97.86,Burntwood Hotel
255,kabinda,CD,70.56,-6.13,24.48,Village Mianda Mutole
256,bolgatanga,GH,76.78,10.79,-0.85,Mama's Place
257,kashi,CN,86.0,39.45,75.98,帕米尔青年旅舍
